x,y,t,id
-73.8098753,42.7281654,2011-01-20T15:34:12Z,1469
-73.8105957,42.7281828,2011-01-20T15:36:09Z,1469
-73.8112789,42.7278937,2011-01-20T15:38:13Z,1469
-73.8109802,42.7282094,2011-01-20T15:40:29Z,1469
-73.8112174,42.7281831,2011-01-20T15:43:25Z,1469
-73.8111694,42.7281381,2011-01-21T00:39:32Z,1469
-73.8112037,42.728122,2011-01-21T00:40:30Z,1469
-73.8115242,42.7281397,2011-01-21T00:50:50Z,1469
-73.8112928,42.7280544,2011-01-21T01:00:53Z,1469
-73.8106229,42.7266743,2011-01-21T02:30:55Z,1469
-73.8095533,42.7258378,2011-01-21T02:36:41Z,1469
-73.8094269,42.7256324,2011-01-21T02:38:09Z,1469
-73.8111557,42.724197,2011-01-21T02:46:29Z,1469
-73.8123174,42.7239907,2011-01-21T02:50:04Z,1469
-73.8106807,42.7217514,2011-01-21T02:58:16Z,1469
-73.8118352,42.721292,2011-01-21T03:02:15Z,1469
-73.8126725,42.7206567,2011-01-21T03:05:37Z,1469
-73.8141767,42.7191777,2011-01-21T03:09:35Z,1469
-73.8141645,42.7191968,2011-01-21T03:11:08Z,1469
-73.8154342,42.7191776,2011-01-21T03:15:31Z,1469
-73.8159748,42.7198522,2011-01-21T03:17:14Z,1469
-73.8157449,42.7200174,2011-01-21T03:18:09Z,1469
-73.8146095,42.7192008,2011-01-21T03:20:12Z,1469
-73.8148063,42.7191492,2011-01-21T03:30:52Z,1469
-73.8133969,42.7204844,2011-01-21T03:38:18Z,1469
-73.8111153,42.7225853,2011-01-21T03:45:12Z,1469
-73.8105593,42.722983,2011-01-21T03:46:08Z,1469
-73.8086146,42.7239395,2011-01-21T03:50:09Z,1469
-73.8078948,42.7242719,2011-01-21T03:54:06Z,1469
-73.8076408,42.7252024,2011-01-21T03:56:05Z,1469
-73.8065652,42.7252363,2011-01-21T03:58:06Z,1469
-73.8056338,42.7253302,2011-01-21T04:00:08Z,1469
-73.8058822,42.7254644,2011-01-21T04:02:09Z,1469
-73.8067263,42.7255571,2011-01-21T04:04:07Z,1469
-73.8100001,42.7259205,2011-01-21T04:10:07Z,1469
-73.8122074,42.7259163,2011-01-21T04:14:13Z,1469
-73.812432,42.725769,2011-01-21T04:16:17Z,1469
-73.8137597,42.7271299,2011-01-21T04:24:29Z,1469
